شیت اول
فهرست بهای واحد پایه رشته ابنیه سال 1404				
شماره	فصل	شرح	واحد	"بهای واحد
(ریال)"
030603	03	اضافه‌بها به ردیف‌های ۰۳۰۵۰۱ تا ۰۳۰۵۰۴، هرگاه عمق  کندن زمین بیش از 3 متر باشد، برای حجم خاک واقع شده در عمق 3 تا 4 متر یک بار، 4 تا 5 متر دوبار، 5 تا 6 متر 3 بار و به همین ترتیب برای عمق های بیشتر	مترمکعب	38,800
030701	03	بارگیری مواد حاصل از عملیات خاکی یا خاکهای توده شده و   حمل آن با کامیون یا هرنوع وسیله مکانیکی دیگر تا فاصله ۱۰۰ متری مرکز ثقل   برداشت و تخلیه آن.	مترمکعب	210,500
030702	03	حمل مواد حاصل از عملیات خاکی یا خاکهای توده شده، وقتی که فاصله حمل بیش از ۱۰۰ متر تا ۵۰۰ متر باشد، به ازای هر ۱۰۰ متر مازاد بر۱۰۰ متر اول (کسر ۱۰۰ متر به تناسب محاسبه می‌شود)	مترمکعب	8,120
030703	03	حمل مواد حاصل از عملیات خاکی یا خاکهای توده شده، وقتی   که فاصله حمل بیش از۵۰۰ متر تا ۱۰ کیلومتر باشد، برای هر کیلومتر مازاد بر ۵۰۰   متر اول، برای راه‌های آسفالتی (کسر کیلومتر به‌ نسبت قیمت یک کیلومتر محاسبه می‌شود).	مترمکعب -  کیلومتر‏	41,500
030704	03	حمل مواد حاصل از عملیات خاکی یا خاکهای توده شده، وقتی که فاصله حمل بیش از ۱۰ کیلومتر تا ۳۰ کیلومتر باشد، برای هر کیلومتر مازاد بر ۱۰ کیلومتر، برای راه‌های آسفالتی (کسر کیلومتر، به‌ نسبت بهای یک کیلومتر محاسبه می‌شود)	مترمکعب -  کیلومتر‏	33,800
030705	03	حمل مواد حاصل از عملیات خاکی یا خاکهای توده شده، وقتی که فاصله حمل بیش از ۳۰ کیلومتر باشد، برای هر کیلومتر مازاد بر ۳۰ کیلومتر، برای راه‌های آسفالتی (کسر کیلومتر، به ‌نسبت بهای یک کیلومتر محاسبه می‌شود)	مترمکعب -  کیلومتر‏	30,800
030706	03	بارگیری و باراندازی هرگاه استفاده از جرثقیل و باکت یا وسیله مشابه آن برای بارگیری الزامی باشد	مترمکعب	0
030801	03	تسطیح بستر خاک‌ریزها یا سطوح کنده شده (به جز شیروانی‌ها) با گریدر یا سایر وسایل مکانیکی	مترمربع	5,650
030802	03	آب‌پاشی و کوبیدن زمین طبیعی یا بستر خاک‌ریزها یا سطوح کنده شده و مانند آن‏ها، تا عمق ۱۵ سانتی‌متر با تراکم ۸۵ درصد به روش پروکتور اصلاحی	مترمربع	18,100
030803	03	آب‌پاشی و کوبیدن زمین طبیعی یا بستر خاک‌ریزها یا سطوح کنده شده و مانند آن‏ها ، تا عمق ۱۵ سانتی‌متر با تراکم ۹۰ درصد به روش پروکتور اصلاحی	مترمربع	23,100
030804	03	آب‌پاشی و کوبیدن زمین طبیعی یا بستر خاک‌ریزها یا سطوح کنده شده و مانند آن‏ها، تا عمق ۱۵ سانتی‌متر با تراکم ۹۵ درصد به روش پروکتور اصلاحی	مترمربع	27,700
030805	03	آب‌پاشی و کوبیدن زمین طبیعی یا بستر خاک‌ریزها یا سطوح کنده شده و مانند آن‏ها، تا عمق ۱۵ سانتی‌متر با تراکم ۱۰۰ درصد به‌ روش پروکتور اصلاحی	مترمربع	39,900
